Aff,Neg,Judges,Votes,Win
Flintridge Prep CX,Marlborough LS,"Anirv Ayyala																																						Lauren Ching																																						Sarah Martin","Neg																															Neg																															Neg","3-0																															NEG"
Loyola ED,Loyola TH,,Loyola TH advances,Loyola TH advances
