Aff,Neg,Judges,Votes,Win,"Aff								Points","Neg								Points"
Clear Lake RZ,Mountain View AW,"Colton Gilbert																																						Demarcus Powell","Aff																															Neg","1-1																															SPLIT","29.1																																								29.0","28.8																																								29.1"
Greenhill VT,Harker LC,"Blake Ziegler																																						Ishan Rereddy","Aff																															Aff","2-0																															AFF","29.4																																								29.5","29.3																																								29.4"
Edgemont AP,Memorial AW,"Chris Castillo																																						Nigel Taylor-Ward","Neg																															Aff","1-1																															SPLIT","29.1																																								29.8","29.2																																								29.5"
Plano West SG,Little Rock Central KB,"Emanuel Vargas																																						Sam Gustavson","Aff																															Neg","1-1																															SPLIT","29.5																																								29.5","29.4																																								29.7"
Harvard-Westlake KM,Isidore Newman DC,"Coralynn Yang																																						Azja Butler","Aff																															Aff","2-0																															AFF","29.8																																								29.5","29.2																																								29.4"
Strake Jesuit  KS,Memorial EJ,"Nate Watkins																																						Kristiana Baez-Gustavson","Neg																															Neg","2-0																															NEG","29.3																																								29.2","29.6																																								29.3"
St Thomas CO,Marlborough LS,"Temitope Ogundare																																						Elizabeth Elliott","Neg																															Aff","1-1																															SPLIT","29.0																																								29.3","29.1																																								29.2"
Greenhill AN,Little Rock Central GT,"Coralynn Yang																																						Mark Kivimaki","Neg																															Neg","2-0																															NEG","28.9																																								28.7","29.2																																								28.8"
