Aff,Neg,Judges,Votes,Win,"Aff								Points","Neg								Points"
Westwood GL,Barack Obama Male Leadership Academy (HS) VJ,"Zach Thiede																																						Sam Shore","Aff																															Aff","2-0																															AFF","NGupta																																																												29.5																																								29.1																																																																																								RLaxminarasimhan																																																												29.4																																								29.2","JValle																																																												29.2																																								29.4																																																																																								CJeffries																																																												29.1																																								28.8"
Little Rock Central WL,Washburn Rural CC,"Rafael Sanchez																																						Oliver Johnston","Aff																															Aff","2-0																															AFF","SWu																																																												29.5																																								29.5																																																																																								JLiu																																																												29.7																																								29.7","GChidambaranathan																																																												29.7																																								29.4																																																																																								ZChaudhry																																																												29.4																																								29.3"
Georgetown Day XM,New Trier MY,"Emanuel Vargas																																						Allie Chase","Neg																															Neg","2-0																															NEG","AMangalam																																																												29.2																																								29.1																																																																																								JXu																																																												29.3																																								29.3","RMa																																																												29.4																																								29.4																																																																																								SYang																																																												29.5																																								29.5"
Rowland Hall LV,Liberal Arts and Science CV,"Ian Beier																																						Azja Butler","Neg																															Aff","1-1																															SPLIT","ELieberman																																																												28.9																																								29.3																																																																																								RVenkatesan																																																												29.0																																								29.5","JConley																																																												29.1																																								29.0																																																																																								AVidal																																																												29.2																																								29.0"
Montgomery Bell BV,College Prep TN,"Valerie McIntosh																																						Elijah Smith","Neg																															Neg","2-0																															NEG","EBrandes																																																												28.9																																								28.7																																																																																								AVari																																																												28.8																																								28.8","ATarnas																																																												29.1																																								29.0																																																																																								KNahm																																																												29.0																																								28.9"
Greenhill BS,Whitney Young BM,"Chris Thiele																																						Alaina Walberg","Neg																															Neg","2-0																															NEG","ABose																																																												29.1																																								29.0																																																																																								MSunkara																																																												29.0																																								29.2","SMohan																																																												29.3																																								29.4																																																																																								DBoss																																																												29.2																																								29.3"
