Aff,Neg,Judges,Votes,Win,"Aff								Points","Neg								Points"
Little Rock Central WL,Glenbrook South SM,"Josh Clark																																						Azja Butler","Neg																															Aff","1-1																															SPLIT","SWu																																																												29.4																																								29.0																																																																																								JLiu																																																												29.5																																								29.1","PMartinez																																																												29.6																																								29.0																																																																																								LSamet																																																												29.0																																								28.9"
Westwood GL,New Trier MY,"Jared Zuckerman																																						storm lasseter","Aff																															Aff","2-0																															AFF","NGupta																																																												29.3																																								29.5																																																																																								RLaxminarasimhan																																																												29.4																																								29.3","RMa																																																												29.2																																								29.4																																																																																								SYang																																																												29.1																																								29.4"
Washburn Rural CC,Barack Obama Male Leadership Academy (HS) VJ,"Cody Morrow																																						Sabarish Ravi","Neg																															Neg","2-0																															NEG","GChidambaranathan																																																												29.1																																								29.0																																																																																								ZChaudhry																																																												29.1																																								28.7","JValle																																																												29.3																																								29.2																																																																																								CJeffries																																																												29.1																																								29.1"
Quarry Lane KM,College Prep TN,"Kevin Hirn																																						Jack Moore","Aff																															Aff","2-0																															AFF","NMehta																																																												29.4																																								29.3																																																																																								PKhanna																																																												29.2																																								29.2","ATarnas																																																												29.2																																								29.1																																																																																								KNahm																																																												29.3																																								29.0"
Liberal Arts and Science CV,Whitney Young BM,"Dawn Pierce																																						Elijah Smith","Neg																															Aff","1-1																															SPLIT","JConley																																																												29.2																																								28.7																																																																																								AVidal																																																												29.0																																								28.8","SMohan																																																												29.3																																								25.0																																																																																								DBoss																																																												29.1																																								28.9"
Rowland Hall LV,Montgomery Bell BV,"Chris Thiele																																						Sean Duff","Aff																															Neg","1-1																															SPLIT","ELieberman																																																												29.2																																								28.8																																																																																								RVenkatesan																																																												29.5																																								28.9","EBrandes																																																												28.9																																								28.9																																																																																								AVari																																																												29.4																																								29.0"
