Aff,Neg,Judge,Win,Aff Points,Neg Points
West Des Moines Valley JC,Valley Christian GL,Jyoti Balaji,Aff,28.0,27.5
Sharks Independent KZ,Mountain View AW,Callaway Weeks,Neg,29.4,29.6
Carlsbad AP,Lexington RI,Dedeepya Rudraraju,Aff,28.6,28.5
Sid Batchu Independent SB,Jordan YZ,Ivelisse Tirado,Aff,28.5,28.0
Ridge SP,Iowa City West AA,Matt Conrad,Neg,29.2,29.4
Brophy AP,RFS Independent EW,Joshua Mitchell,Neg,29.0,29.2
Eagan ML,Neenah OB,Sapna Todwal,Neg,29.0,29.1
Strath Haven MC,Memorial ES,Ashley Lourenco,Neg,25.0,28.5
Lexington SD,James Logan EG,Akshay Agarwal,Neg,29.9,30.0
Northern Valley AC,RFS Independent EE,Flora Zhu,Aff,28.9,27.9
St Andrew's Episcopal MK,Honor AS,Charles Fu,Neg,27.5,28.0
Independent Hamilton GJ,Ardsley NN,Jad Vicente,Aff,30.0,29.9
Harrison PB,Walnut Grove Secondary JY,James Jude,Neg,28.8,28.9
Holy Trinity Episcopal SP,Lake Highland Prep SM,Leyi Han,Neg,28.7,28.8
Brophy VW,Harker BF,Sai Karavadi,Aff,30.0,26.5
Youth Development Resource Center JL,American Heritage Palm Beach CR,Mitesh Vasa,Aff,28.3,28.6
Westridge YW,Jericho Unaffiliated YG,Suli Liu,Aff,28.2,28.1
Phillips Exeter Independent JM,Mountain Lakes IG,Patrick Liu,Aff,29.9,28.0
American Heritage Palm Beach NI,Millburn AK,Xiaorui Hang,Aff,29.4,28.7
Jericho Unaffiliated LL,Arlington LC,Martin Klein,Aff,28.1,27.8
Equality Independent VM,LAMP JL,Rob Sosa,Neg,28.5,28.7
Harrison GC,Iowa City West VDu,Nolan Si,Aff,29.3,29.1
Sharks Independent KW,Saratoga SG,Tejas Rajagopalan,Aff,29.6,28.2
Lake Highland Prep AB,Iowa City West DA,Andrei Nemoianu,Aff,28.3,27.5
Phillips Exeter Independent GK,BASIS Chandler WI,Cyrus Jackson,Neg,29.7,29.8
Harrison JB,Huang Independent HH,Deena McNamara,Neg,28.5,29.0
University AA,Mountain Brook SW,Denitsa Zvetkova,Neg,29.9,30.0
Pacific Collegiate JX,Harrison AG,Nathan Liu,Neg,29.2,29.4
Edgemont AG,Archbishop Mitty YS,Aerin Engelstad,Aff,28.7,28.4
Leland SS,Strake Jesuit EX,Isaac Love,Neg,28.2,28.6
Millard North TK,Bronx Science CL,Jerry Li,Neg,28.0,28.1
Sunny Hills Independent JK,Park City MS,Chetan Hertzig,Aff,29.4,29.3
Newark Science NB,Head-Royce EA,Anna Jaubert,Aff,28.0,27.5
Marlborough CS,Valley Christian EM,Christian Nunez,Neg,25.0,26.0
Milpitas AM,Papaya Valley AA,Chris Li,Neg,27.0,30.0
West HS SLC LM,Harker AA,Lesly De Anda,Aff,29.8,29.0
Valley Christian AK,Harvard-Westlake SB,Amadea Datel,Neg,28.7,28.8
Flintridge Prep CK,James Logan AJ,Chelsea Hodgson,Aff,28.5,28.4
Harrison FW,Sandy Independent OS,Katie Wang,Aff,28.9,28.5
Lake Highland Prep ZM,Trinity Prep GP,Vipul Panchal,Aff,29.1,28.9
Eagan NL,Hawken EB,Chigozie Chinaka,Neg,26.0,27.0
Ridge AM,ModernBrain ML,David Itopa,Aff,28.8,28.7
Chaminade OS,Sethia Independent KS,Alexander MacDonald,Aff,25.0,24.0
Commonwealth JB,Cupertino Independent AC,Gina Hu,Aff,29.0,28.0
Lake Highland Prep SA,Harrison AC,Danielle Sack,Neg,27.0,28.5
Thousand Oaks BJ,Lexington RC,Eva Lamberson,Neg,28.1,28.2
Strake Jesuit NF,Harker LK,Rahul Kissoon,Aff,29.3,28.0
Sierra Canyon RZ,Newark Science MR,Nicholas Aranda,Aff,28.0,27.0
Trinity Prep CM,Bronx Science SF,Mason Kim,Neg,28.3,28.7
Memorial AD,Bronx Science ZY,Ella Jewell,Aff,27.5,27.0
Clark Advanced Learning Center MG,John Cooper KL,Sameer Wankhede,Aff,28.2,28.0
Bellevue Youth CS,Harrison JA,Dan Bagwell,Neg,28.2,28.3
Myers Park IL,Harrison OG,Rik Roy,Aff,28.6,28.4
Notre Dame San Jose TB,Newark Science KR,Shuchi Mehta,Aff,29.1,28.3
Mountain Brook JB,Honor LC,Jiya Bastawade,Aff,30.0,29.5
Millburn SB,John Cooper TX,Andy Noel,Neg,28.0,27.5
Cary Acad TB,Harker JA,Gopal Kumar,Neg,28.5,28.8
Harker EX,American Heritage Broward RN,Nick Smith,Aff,29.8,28.9
Iowa City West FH,Bronx Science AM,Quentin Clark,Neg,28.8,28.9
Basis Scottsdale Independent AV,Harker MS,Aarnav Agrawal,Neg,29.1,29.2
Littleton MK,Harker AS,Saied Beckford,Neg,28.2,28.9
Gunn HS Independent IT,Apple Valley ZC,Naresh Rajanna,Aff,29.2,29.1
Mission San Jose AB,Westridge KD,Neel Kannambadi,Neg,28.0,29.3
Trinity Prep SH,Harker KA,Nikita Tanguturi,Neg,28.7,28.8
Strake Jesuit DV,Lexington OO,Ethan Chen,Neg,28.9,29.3
Emerald AW,Mission San Jose SL,Ryan Curran,Neg,29.2,29.4
Bellevue Youth EL,Edgemont SS,Greg Paley,Aff,29.6,29.5
Newark Science EH,John Cooper RR,Senae Davidson,Neg,26.0,28.0
Phillips Exeter Independent TH,Harker LX,Drew Benthein,Neg,30.0,28.0
Harrison SE,Homestead Independent NK,Andrew Zhang,Aff,29.0,28.7
Jericho Unaffiliated AL,Oxbridge CC,Renee Ding,Aff,28.6,28.5
BASIS Phoenix VN,Marlborough MF,Spencer Balkenhol,Neg,29.5,29.7
Able2Shine JX,Jericho Unaffiliated SS,George Rogers,Neg,29.5,30.0
Able2Shine AF,Sage Hill SC,Shringar Kala,Neg,28.3,28.6
DuPont Manual HS Youth Performing Arts AV,St Mary's Hall VB,Amolika Desai,Aff,29.0,27.0
RFS Independent JM,Archbishop Mitty AG,Elizabeth Nicaj,Neg,27.7,28.2
Lexington EL,University NK,Dustin Jackson,Aff,28.8,28.7
Edgemont YA,Ridge AB,Alan Fishman,Neg,28.5,28.8
Canyon Crest JY,Pinewood CA,Victor Wildman,Neg,26.5,27.5
Lake Highland Prep SMo,Sharks Independent JF,Esther Jonathan,Neg,29.0,30.0
Lake Highland Prep AM,Harker RL,Claire Bloomingdale,Neg,25.0,29.6
Lexington KZ,Cypress AM,Sherine Liu,Aff,28.5,28.3
Harker SD,Memorial AW,Amanda Ciocca,Aff,29.7,29.5
Leland AT,Boston Latin AH,Davis Liang,Neg,28.3,28.4
Able2Shine MS,RFS Independent RA,Giovanny Zacarias,Neg,29.3,29.6
Harrison KI,BASIS Silicon Valley JK,Sam Anderson,Neg,29.1,29.3
Millard North AJ,Walpole SP,Aanya Ujjval,Neg,28.6,28.7
Bronx Science LS,Pingry SH,Joseph Barquin,Aff,29.5,29.4
Monta Vista SC,Dougherty Valley NM,Noah Darby,Aff,30.0,29.0
Northwood NC,Newark Science EM,Pranjal Verma,Aff,28.0,27.0
University KB,Dougherty Valley VV,Nidhi Tiwary,Aff,27.0,26.0
Marlborough JK,Cary Acad RP,Sisi Holden,Neg,29.5,30.0
Valley Christian YN,Millard North LT,Jon Joey Telebrico,Neg,27.5,28.2
Palo Alto YZ,Valley Christian VX,Muhammadbaqir Oloruntoyin,Neg,29.3,29.5
Research Triangle KP,Fulton Science AK,Jenny Liu,Aff,29.0,28.9
Millburn SK,Needham Independent DC,Shriya Narasimhan,Neg,29.9,30.0
Flintridge Prep ED,Mountain Brook WR,Hak Soo Choi,Neg,27.0,28.0
Newark Science AC,Leland AK,Mike Guffin,Neg,28.0,28.5
Fairmont Prep AW,Phillips Exeter Independent AD,Chen Chen,Aff,29.0,28.9
Harvard-Westlake EY,New York State Independent AS,Benjamin Morbeck,Neg,29.0,29.3
Strath Haven NS,Holy Trinity Episcopal CH,Conal Thomas-McGinnis,Neg,27.0,28.0
Harker OH,Lincoln-Sudbury AP,Alicia Mason,Neg,28.8,29.0
Iowa City West VD,Laurel CW,James Wayne,Neg,28.0,28.2
Equality Independent SJ,University AN,Shivani Chadha,Aff,29.0,28.5
Scarsdale AR,Carlsbad GT,Bo Zeng,Neg,28.0,28.2
Flintridge Prep CX,Danville Area DN,Jack Booth,Aff,29.5,29.1
Cary Acad LM,Eagan EM,Albert Cai,Aff,29.1,28.9
Montgomery Blair OR,West Des Moines Valley KH,Hetal Patel,Neg,28.4,28.5
LAMP RK,University SS,Sesh J,Neg,28.2,28.4
Brophy AG,Colorado HJ,Paige Tokuhara,Aff,28.0,27.0
"Russellville HS - Russellville, AR MM",Newark Science SR,Ming Zhao,Neg,28.1,29.1
