Aff,Neg,Judges,Votes,Win
Whitney Young BM,Carrollton School of the Sacred Heart MG,"Maggie Berthiaume																																						Valerie McIntosh																																						Henry Walawender","Aff																															Aff																															Aff","3-0																															AFF"
New Trier MY,Walter Payton BR,"Alex Mojica																																						Dana Randall																																						Brett Bricker","Aff																															Neg																															Neg","2-1																															NEG"
