Aff,Neg,Judges,Votes,Win
Westwood GL,Carrollton School of the Sacred Heart MG,"Christopher Fry																																						Maggie Berthiaume																																						Neel Patel","Aff																															Neg																															Neg","2-1																															NEG"
Carrollton School of the Sacred Heart RG,Montgomery Bell BV,"Jared Zuckerman																																						shreyas rajagopal																																						Sam Shore","Aff																															Neg																															Neg","2-1																															NEG"
New Trier MY,Liberal Arts and Science CV,"Gabriel Jankovsky																																						Will Katz																																						Jonathan Meza","Aff																															Neg																															Aff","2-1																															AFF"
College Prep NT,Liberal Arts and Science KM,"Alex Mojica																																						Jessica Dickey																																						Amol Kattaria","Aff																															Neg																															Neg","2-1																															NEG"
Greenhill BS,Whitney Young BM,"Jeff Buntin																																						Dana Randall																																						Brett Bricker","Neg																															Neg																															Neg","3-0																															NEG"
Little Rock Central LW,Quarry Lane KM,"Dustin Meyers-Levy																																						Charlie Hale																																						Patrick Fox","Neg																															Aff																															Neg","2-1																															NEG"
Bellarmine  SC,Walter Payton BR,"Kevin Hirn																																						David Heidt																																						Ankit Bhasi","Neg																															Neg																															Neg","3-0																															NEG"
Newark Science OO,Barack Obama Male Leadership Academy (HS) VJ,"Alaina Walberg																																						Matt Cekanor																																						Azja Butler","Aff																															Aff																															Aff","3-0																															AFF"
