Aff,Neg,Judges,Votes,Win
Emory GY,Michigan State LM,Riley Reichel Nick Loew Kevin Hirn,Aff Aff Aff,3-0 AFF
Michigan BS,Macalester KS,Adrienne Brovero Brett Bricker Connelly Cowan,Aff Aff Aff,3-0 AFF
Michigan ES,Iowa EW,Rae Fournier Thomas Babcock Rose Larson,Aff Aff Neg,2-1 AFF
UC Berkeley BM,Kansas UO,Zahir Shaikh Valerie McIntosh Rafael Pierry,Aff Neg Aff,2-1 AFF
Emory SY,UTD DH,Ari Davidson Temitope Ogundare Joe Weideman,Aff Aff Aff,3-0 AFF
Wake Forest BS,Iowa PK,Deven Cooper Irshad Reza Husain Jazmine Pickens,Aff Aff Aff,3-0 AFF
Michigan CS,Northwestern LT,Tony Miklovis Kevin McCaffrey Jacob Wilkus,Aff Neg Aff,2-1 AFF
Western Kentucky NI,Kansas SS,Sam Gustavson John Turner Jenny Vazquez Torres,Aff Aff Aff,3-0 AFF
