Aff,Neg,Judge,Win,Aff Points,Neg Points
St Thomas CO,Strake Jesuit MZ,Grady Morris,Aff,29.6,29.3
Greenhill AN,Clear Lake RZ,Andy Stubbs,Neg,29.9,30.0
Plano West ZM,Southlake Carroll TB,Jacob Palmer,Aff,29.7,29.6
Greenhill VT,Harker ID,Johnathen Standifer,Neg,29.8,30.0
Plano West TL,Southlake Carroll AA,Aadi Patil,Neg,28.6,28.7
Westwood TM,Bellaire LN,Ryan Graham,Aff,28.1,28.2
Strake Jesuit LC,Harker RG,Aaron Kuang,Neg,29.4,29.5
Dulles DE,Kinkaid CM,Alice Waters,Neg,28.5,28.8
Mullen JS,Rock Hill TI,Austin Broussard,Neg,27.3,28.8
McNeil KV,Coppell MM,Nate Watkins,Aff,29.1,29.0
Lake Highland Prep SS,St John's WG,Avery Wilson,Neg,28.7,28.8
Winston Churchill TC,Strake Jesuit SA,. Henderson,Neg,29.0,29.1
Seven Lakes VS,Dripping Springs LA,Niko Battle,Aff,29.1,28.8
Keller KI,Dripping Springs AA,Nicholette Sharp,Neg,29.0,29.0
Jasper EX,Westlake MH,David Kilpatrick,Neg,28.1,28.6
Strake Jesuit AY,All Saints Episcopal School - Tyler ID,Grady Morris,Aff,29.4,29.2
Westwood MB,Plano East JN,Feifan Liu,Neg,28.6,28.7
McNeil AP,Bellaire ER,Austin Broussard,Neg,27.9,28.2
Strake Jesuit KS,Dripping Springs AG,Pranav Sreenivas,Aff,29.4,27.8
Coppell VD,Westwood DV,Aaron Kuang,Neg,28.7,28.8
Harker JY,Plano West SG,Ishan Rereddy,Neg,28.9,29.5
Dulles SK,Keller AA,Isaac Chao,Aff,27.8,27.4
Plano West SB,Westwood AT,Pranav Sreenivas,Neg,28.4,29.1
Flower Mound KK,Princeton JZ,Erick Berdugo,Aff,29.7,29.5
Westwood EK,Greenhill GA,Sreethan Karna,Neg,28.8,28.9
Tom Glenn HO,Timber Creek MC,Isaac Chao,Aff,27.5,27.4
Emerson AM,Southlake Carroll GS,Courtney Warner,Aff,29.0,27.0
Lake Highland Prep AD,St John's DH,Chris Castillo,Aff,29.0,28.9
Dulles CZ,Vestavia Hills VZ,Jacob Palmer,Neg,29.2,29.4
Memorial BL,Greenhill OG,Chris Castillo,Aff,29.1,29.0
Coppell KS,Harker JC,Sreethan Karna,Neg,28.8,29.4
Tom Glenn MM,Louis D. Brandeis SR,Ishan Rereddy,Neg,28.6,28.8
Harker ASi,Lake Highland Prep AW,Avery Wilson,Neg,28.7,29.1
Greenhill SS,Southlake Carroll IM,Em Jackson,Aff,29.0,29.0
Tom Glenn JM,Bellaire NP,Alexander Yoakum,Aff,28.8,27.3
Greenhill EX,Lake Highland Prep NA,William Walker,Aff,29.4,29.3
Timber Creek MG,JBS Law Magnet AF,Peyton Squires,Neg,27.0,28.0
Durham GW,McNeil JL,Sumya Paruchuri,Neg,28.7,29.0
Little Rock Central GT,Harker JS,Bernardo Medeiros,Neg,29.3,29.1
Strake Jesuit JW,Jasper OS,Alexander Yoakum,Aff,28.9,27.0
Lake Highland Prep AS,Southlake Carroll SA,Jaelyn Ashford,Neg,28.0,28.5
Clear Lake CW,Southlake Carroll AT,Surya Dasari,Aff,29.7,29.4
Coppell JS,Southlake Carroll AB,. Henderson,Neg,28.8,29.5
Westwood AP,Strake Jesuit SW,Bernardo Medeiros,Neg,28.7,28.9
Jasper JS,Cabot JD,Truman Le,Aff,28.1,28.0
Strake Jesuit FB,Boerne Champion CW,Nate Watkins,Aff,29.7,29.1
