Aff,Neg,Judge,Win,Aff Points,Neg Points
Vestavia Hills VZ,Tom Glenn HO,Aayan Sayani,Aff,29.1,28.6
Harker JS,Strake Jesuit SW,Truman Le,Aff,28.8,28.7
Southlake Carroll TB,Memorial BL,Aayan Sayani,Neg,29.4,29.6
Harker JY,Little Rock Central GT,Nigel Taylor-Ward,Neg,29.1,29.5
Harker ID,Strake Jesuit AY,Feifan Liu,Neg,29.3,29.4
Dripping Springs AG,Greenhill EX,Nicholette Sharp,Neg,27.7,27.9
JBS Law Magnet AF,Coppell MM,Niko Battle,Neg,28.9,30.0
Lake Highland Prep NA,Harker ASi,Johnathen Standifer,Aff,30.0,28.7
Jasper OS,Lake Highland Prep AW,Em Jackson,Neg,28.0,28.2
Southlake Carroll AA,Timber Creek MG,Joe Su,Aff,27.9,28.1
Strake Jesuit FB,McNeil AP,Alexander Yoakum,Neg,28.1,28.2
All Saints Episcopal School - Tyler ID,Westwood MB,Austin Broussard,Aff,28.4,28.2
Kinkaid CM,Harker JC,Isaac Chao,Aff,28.9,28.7
Greenhill GA,Westlake MH,Em Jackson,Neg,28.0,28.5
Seven Lakes VS,Coppell VD,William Walker,Neg,28.5,28.6
Mullen JS,Coppell KS,Siyona Khera,Aff,30.0,28.0
Winston Churchill TC,Flower Mound KK,Pranav Sreenivas,Aff,29.3,28.0
Lake Highland Prep AD,Westwood TM,Nate Watkins,Aff,29.2,28.6
Harker RG,Westwood AT,Nigel Taylor-Ward,Aff,29.6,29.2
Southlake Carroll AT,Louis D. Brandeis SR,Austin Broussard,Aff,29.1,28.5
Plano West SB,Bellaire LN,Brian McAninch,Aff,29.6,29.3
Strake Jesuit JW,Greenhill AN,Jon-Carlo Canezo,Neg,29.0,29.5
Dripping Springs LA,Southlake Carroll GS,Nicholette Sharp,Aff,27.9,27.6
Strake Jesuit LC,Southlake Carroll AB,Sumya Paruchuri,Neg,29.5,29.6
Durham GW,Emerson AM,Erick Berdugo,Aff,30.0,29.5
Lake Highland Prep SS,Princeton JZ,Niko Battle,Neg,29.0,29.4
Plano West TL,St John's WG,Pranav Sreenivas,Neg,28.3,29.9
Westwood EK,Timber Creek MC,Erick Berdugo,Aff,28.7,28.5
McNeil JL,Dripping Springs AA,Truman Le,Aff,28.6,28.0
Greenhill VT,Strake Jesuit KS,Alice Waters,Aff,29.0,28.9
Plano East JN,Clear Lake CW,Joe Su,Neg,28.7,28.8
Greenhill SS,Coppell JS,Nate Watkins,Neg,29.1,29.2
Greenhill OG,Strake Jesuit SA,Jon-Carlo Canezo,Aff,29.0,29.5
Dulles SK,Plano West NS,Feifan Liu,Neg,28.0,28.7
Cabot JD,Tom Glenn MM,Surya Dasari,Neg,30.0,27.0
St John's DH,Strake Jesuit MZ,Sumya Paruchuri,Neg,27.5,29.9
Westwood AP,Keller AA,Aadi Patil,Aff,29.3,28.1
Jasper EX,Tom Glenn JM,Rowan MacLean,Neg,28.8,29.7
Plano West ZM,Bellaire ER,Alexander Yoakum,Aff,28.1,27.9
Clear Lake RZ,Rock Hill TI,Isaac Chao,Aff,29.3,29.1
McNeil KV,Lake Highland Prep AS,Shania Hunt,Aff,28.5,28.0
Dulles DE,Andrews CM,Siyona Khera,Aff,28.5,28.0
Jasper JS,Dulles CZ,Alice Waters,Neg,28.5,28.6
Plano West SG,Westwood DV,William Walker,Aff,29.4,28.9
Southlake Carroll SA,Bellaire NP,Aadi Patil,Neg,28.5,28.5
Boerne Champion CW,Southlake Carroll IM,Surya Dasari,Neg,29.4,29.6
St Thomas CO,Keller KI,Rowan MacLean,Aff,30.0,28.9
