Aff,Neg,Judge,Win,Aff Points,Neg Points
Lake Highland Prep AW,Southlake Carroll AA,Alexander Yoakum,Aff,28.6,27.9
Harker JC,McNeil JL,Avery Wilson,Neg,28.7,28.9
Greenhill EX,Jasper OS,. Henderson,Aff,29.4,28.5
St John's WG,Winston Churchill TC,Isaac Chao,Neg,28.9,29.0
Southlake Carroll IM,Dulles SK,Austin Broussard,Aff,30.0,29.9
Greenhill AN,Plano West SB,Em Jackson,Aff,29.5,28.5
Tom Glenn HO,Kinkaid CM,Peyton Squires,Neg,28.0,29.5
Coppell JS,Plano East JN,Ishan Rereddy,Aff,28.2,28.0
Bellaire LN,Jasper JS,Alexander Yoakum,Neg,27.0,27.8
Westlake MH,Harker JS,Mark Ruiz,Neg,28.0,28.0
Dripping Springs AA,Dulles DE,Feifan Liu,Neg,28.1,28.3
Rock Hill TI,Plano West ZM,Aadi Patil,Neg,29.7,29.8
Strake Jesuit SW,Lake Highland Prep AD,Aayan Sayani,Neg,28.9,29.3
Strake Jesuit SA,Lake Highland Prep SS,Aadi Patil,Aff,29.6,29.4
Westwood TM,Strake Jesuit LC,Aayan Sayani,Neg,28.3,29.2
Lake Highland Prep AS,St Thomas CO,Feifan Liu,Neg,28.3,29.5
McNeil AP,Clear Lake RZ,Surya Dasari,Neg,29.2,29.6
Princeton JZ,All Saints Episcopal School - Tyler ID,Nigel Taylor-Ward,Aff,29.7,28.9
Dulles CZ,Westwood AP,William Walker,Neg,28.8,28.9
Westwood MB,McNeil KV,Rowan MacLean,Neg,29.0,29.1
Strake Jesuit AY,Mullen JS,Pranav Sreenivas,Aff,29.4,28.3
Bellaire NP,Strake Jesuit JW,Pranav Sreenivas,Neg,28.6,29.8
Andrews CM,St John's DH,Niko Battle,Neg,28.0,28.8
Coppell MM,Southlake Carroll TB,Austin Broussard,Neg,29.3,29.4
Plano West NS,Greenhill SS,Johnathen Standifer,Neg,28.7,29.0
Keller KI,Harker RG,Johnathen Standifer,Neg,28.0,28.8
Louis D. Brandeis SR,Harker JY,Truman Le,Aff,28.7,28.5
Flower Mound KK,Cabot JD,Em Jackson,Aff,29.0,28.0
Emerson AM,Harker ID,Truman Le,Neg,28.0,29.5
Memorial BL,Vestavia Hills VZ,Nicholette Sharp,Neg,28.0,28.8
Harker ASi,Southlake Carroll AT,Isaac Chao,Neg,28.0,29.6
Clear Lake CW,Seven Lakes VS,Thomas Keith,Aff,30.0,29.9
Tom Glenn MM,Westwood EK,Elizabeth Elliott,Aff,28.5,28.4
Westwood DV,Greenhill VT,Nate Watkins,Neg,29.2,29.4
Coppell KS,Jasper EX,Charles Yelderman,Neg,28.5,28.0
Strake Jesuit MZ,Plano West TL,Joe Su,Aff,28.7,28.3
Timber Creek MG,Dripping Springs AG,Surya Dasari,Neg,28.2,28.5
Tom Glenn JM,Lake Highland Prep NA,Sumya Paruchuri,Neg,28.8,29.5
Strake Jesuit KS,Plano West SG,Avery Wilson,Neg,29.0,29.1
Keller AA,Greenhill OG,Nicholette Sharp,Neg,27.5,28.0
Westwood AT,Dripping Springs LA,William Walker,Aff,28.9,28.6
Little Rock Central GT,Boerne Champion CW,Niko Battle,Aff,30.0,29.2
Southlake Carroll GS,JBS Law Magnet AF,Nigel Taylor-Ward,Neg,27.9,29.5
Coppell VD,Southlake Carroll SA,Jon-Carlo Canezo,Aff,28.0,28.5
Bellaire ER,Durham GW,Siyona Khera,Neg,30.0,30.0
Timber Creek MC,Strake Jesuit FB,Sumya Paruchuri,Neg,27.4,28.5
Southlake Carroll AB,Greenhill GA,Nate Watkins,Aff,29.4,29.0
