Aff,Neg,Judge,Win,Aff Points,Neg Points
Westwood AP,Southlake Carroll AT,Aaron Kuang,Neg,28.8,28.9
Boerne Champion CW,Timber Creek MG,Truman Le,Aff,27.9,28.4
Tom Glenn MM,Southlake Carroll IM,Aaron Kuang,Neg,29.0,29.3
Emerson AM,Keller AA,Jaelyn Ashford,Aff,30.0,25.0
JBS Law Magnet AF,Dulles CZ,Andy Stubbs,Neg,29.6,29.4
Strake Jesuit KS,Coppell KS,Bernardo Medeiros,Aff,29.2,28.7
McNeil AP,Westwood EK,Nate Watkins,Aff,29.2,28.6
Plano East JN,Greenhill GA,Sumya Paruchuri,Neg,27.8,28.5
Lake Highland Prep AD,Little Rock Central GT,Em Jackson,Neg,29.0,29.5
Westwood TM,Harker JY,Chris Castillo,Neg,28.8,29.0
Seven Lakes VS,Southlake Carroll SA,Greg Achten,Neg,28.4,28.5
St John's DH,Strake Jesuit SA,Pranav Sreenivas,Neg,28.5,29.7
Clear Lake RZ,Lake Highland Prep AW,Jacob Palmer,Aff,29.2,29.0
Strake Jesuit LC,Plano West NS,Andy Stubbs,Aff,29.6,29.1
Plano West TL,Dulles SK,Greg Achten,Aff,28.5,28.4
Greenhill AN,Dulles DE,David Kilpatrick,Aff,29.3,28.3
Plano West SB,All Saints Episcopal School - Tyler ID,William Walker,Neg,28.3,28.9
Dripping Springs LA,Tom Glenn JM,Austin Broussard,Neg,27.6,30.0
Bellaire LN,Westwood DV,David Kilpatrick,Neg,28.5,28.6
Strake Jesuit MZ,Plano West ZM,Bernardo Medeiros,Aff,29.1,29.0
Bellaire NP,Westwood AT,Grady Morris,Neg,29.0,29.4
Harker ID,Jasper EX,Em Jackson,Aff,29.0,28.5
Southlake Carroll AA,Memorial BL,Rowan MacLean,Neg,29.9,30.0
Coppell MM,Strake Jesuit FB,Avery Wilson,Neg,28.6,28.8
Greenhill OG,Harker RG,Bodhi Rosen,Neg,29.5,30.0
Clear Lake CW,Coppell JS,Austin Broussard,Aff,30.0,30.0
Lake Highland Prep NA,McNeil KV,Bodhi Rosen,Aff,30.0,27.0
Andrews CM,Lake Highland Prep SS,Mark Ruiz,Neg,23.0,29.0
Keller KI,Jasper OS,Jaelyn Ashford,Neg,28.0,28.0
Kinkaid CM,Southlake Carroll AB,Aadi Patil,Neg,29.5,29.6
Flower Mound KK,St John's WG,Grady Morris,Aff,29.0,28.9
Southlake Carroll GS,Bellaire ER,William Walker,Neg,28.3,28.9
St Thomas CO,Plano West SG,Jacob Palmer,Neg,29.2,29.5
Dripping Springs AA,Harker ASi,Elizabeth Elliott,Neg,28.6,28.7
Greenhill VT,Vestavia Hills VZ,Ryan Graham,Neg,29.8,29.9
McNeil JL,Strake Jesuit AY,Alexander Yoakum,Neg,28.5,29.0
Timber Creek MC,Rock Hill TI,Chris Castillo,Neg,29.0,29.3
Strake Jesuit JW,Jasper JS,Sumya Paruchuri,Aff,29.3,28.4
Durham GW,Harker JS,Ishan Rereddy,Aff,29.2,29.0
Coppell VD,Princeton JZ,Pranav Sreenivas,Neg,28.8,29.6
Strake Jesuit SW,Westwood MB,Alexander Yoakum,Aff,28.1,28.0
Cabot JD,Harker JC,Nicholette Sharp,Neg,27.7,28.0
Tom Glenn HO,Lake Highland Prep AS,Ishan Rereddy,Neg,28.6,28.8
Greenhill SS,Westlake MH,Isaac Chao,Aff,29.3,29.3
Louis D. Brandeis SR,Mullen JS,Avery Wilson,Aff,28.9,28.8
Greenhill EX,Winston Churchill TC,Alice Waters,Aff,29.1,29.0
Dripping Springs AG,Southlake Carroll TB,Elizabeth Elliott,Neg,28.4,28.0
