Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Westlake MH,Marlborough DK,Chris Castillo,Neg,29.0,29.0
Little Rock Central GT,Louis D. Brandeis SR,Ashley Lourenco,Aff,29.8,29.0
St John's WG,Greenhill EX,Emanuel Vargas,Neg,28.9,29.2
Harker JC,Southlake Carroll AT,Aaron Kuang,Aff,28.9,28.3
Lynbrook ST,Immaculate Heart CM,Tim Alderete,Aff,29.2,28.3
Isidore Newman MM,Wheatley AM,Erick Berdugo,Aff,29.8,29.5
Peninsula GH,Grapevine IH,Chris Castillo,Neg,29.0,29.1
Meadows CP,Lake Travis AS,Atharva Srivastava,Neg,28.5,28.7
Park City MS,Lake Travis BK,Joey Antonelli,Aff,28.2,28.1
Meadows TB,Strake Jesuit  MZ,Ishan Rereddy,Neg,29.2,29.4
Strake Jesuit  SA,Marlborough EF,Om Modi,Neg,28.7,28.8
Greenhill OG,West Des Moines Valley DN,Erick Berdugo,Aff,29.7,29.3
Harker RG,Marlborough CS,Blake Ziegler,Neg,28.9,29.1
Strake Jesuit  EX,Harrison FW,Grady Morris,Neg,29.3,29.5
Harker SS,Mountain View AW,Dylan Millimet,Aff,29.5,29.4
Brophy VW,Immaculate Heart AE,Emanuel Vargas,Neg,29.0,29.1
Princeton Day MW,Greenhill SS,Isaac Hoch,Aff,29.7,29.0
John Cooper RR,Coppell VD,Karina Barbosa,Neg,28.0,29.5
Newark Science EH,John Cooper TX,Nicholette Sharp,Neg,28.2,28.2
Lynbrook VK,Cypress Ranch ML,Leo Crowley,Aff,28.2,28.1
Harker ID,Immaculate Heart OA,Om Modi,Neg,28.6,29.3
Harker NB,Clear Lake RZ,Truman Le,Neg,29.4,29.5
Harrison AG,Harker LC,Amanda Ciocca,Neg,28.6,29.3
Brophy AP,Canyon Crest CD,Leo Crowley,Aff,28.6,28.4
West Des Moines Valley JC,Boerne Champion CW,Atharva Srivastava,Neg,28.0,28.8
Strake Jesuit  AY,Memorial AW,Aaron Kuang,Neg,29.1,29.4
Marlborough LS,Isidore Newman DC,aidan etkin,Aff,29.9,29.3
St Thomas CO,All Saints Episcopal School - Tyler ID,Aadi Patil,Aff,29.9,29.7
Immaculate Heart CJ,Cupertino AS,Joey Antonelli,Neg,29.3,29.4
Strath Haven NS,Southlake Carroll AB,Michael Harris,Aff,28.9,28.8
BASIS Silicon Valley JK,Brearley IL,Claudia Ribera,Aff,29.3,29.2
Harker SD,Harvard-Westlake AS,aidan etkin,Aff,29.4,29.5
Newark Science SR,Holy Trinity Episcopal CH,Jay Conklin,Neg,28.8,29.1
Marlborough AK,Clear Lake CW,Brice Ezell,Aff,29.2,28.9
BASIS Silicon Valley VP,Memorial EJ,Rob Sosa,Neg,28.5,29.2
Lynbrook AS,Peninsula SP,Truman Le,Aff,29.0,28.8
Plano West ZM,Gunn SP,Mark Kivimaki,Aff,29.3,29.2
Brearley IM,Coppell MM,Em Jackson,Neg,29.0,29.0
Strath Haven MC,Lynbrook JR,Ryan Graham,Neg,29.1,29.2
Southlake Carroll IM,Cary Acad TB,Austin Broussard,Aff,29.1,27.9
St John's DH,Harvard-Westlake KM,Ronen Bowman,Neg,29.3,29.8
Strake Jesuit  JW,Horace Greeley CC,Ashley Lourenco,Aff,29.0,29.4
Strake Jesuit  KS,Marlborough EP,Dylan Millimet,Aff,29.7,29.2
Stratford RR,Isidore Newman BD,Blake Ziegler,Neg,28.4,28.5
Flintridge Prep CX,Edgemont AP,Ronen Bowman,Aff,29.1,29.2
Marlborough RB,Plano West SG,Mark Kivimaki,Neg,29.5,29.7
Lovett RS,Harrison SE,Claudia Ribera,Neg,28.7,29.4
