Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Strake Jesuit  KS,Marlborough CS,Elizabeth Elliott,Aff,29.2,29.0
Marlborough AK,Southlake Carroll AB,Chris Castillo,Neg,29.1,29.1
Strath Haven MC,Strake Jesuit  EX,Emmanuel Makinde,Neg,28.9,29.2
Harker SS,Harvard-Westlake KM,Jacob Nails,Neg,29.7,29.8
Harrison FW,Isidore Newman DC,Amanda Ciocca,Aff,29.8,29.4
Lynbrook VK,Harvard-Westlake AS,Greg Achten,Neg,28.9,29.3
West Des Moines Valley JC,Canyon Crest CD,Derek Han,Neg,28.3,29.0
Lovett RS,John Cooper TX,Aadi Patil,Aff,28.9,28.8
Greenhill OG,Meadows TB,Holden Bukowsky,Aff,28.0,28.8
West Des Moines Valley DN,Marlborough EF,Joey Antonelli,Neg,29.3,29.7
Cary Acad TB,Immaculate Heart CJ,Siyona Khera,Aff,29.8,29.0
St Thomas CO,Strake Jesuit  AY,Grady Morris,Aff,29.7,29.8
Immaculate Heart OA,Lynbrook AS,Greg Achten,Neg,29.0,29.2
Lynbrook ST,Edgemont AP,Mark Kivimaki,Aff,29.1,28.9
Little Rock Central GT,Greenhill EX,Curtis Ortega,Neg,29.1,29.2
Boerne Champion CW,Louis D. Brandeis SR,Surya Dasari,Aff,28.8,28.4
Cupertino AS,Meadows CP,Ishan Rereddy,Neg,28.2,28.3
Grapevine IH,Irma Rangel YWLS DR,Atharva Srivastava,Aff,29.2,28.6
Marlborough LS,Plano West ZM,Nick Loew,Aff,29.4,29.2
Park City MS,Holy Trinity Episcopal CH,Isaac Hoch,Aff,29.6,29.5
Coppell VD,Stratford RR,Ashley Lourenco,Neg,20.0,30.0
Immaculate Heart AE,Gunn SP,Gordon Krauss,Neg,29.6,29.7
Strake Jesuit  MZ,Memorial EJ,Claudia Ribera,Neg,29.5,29.6
Cypress Ranch ML,Harker ID,Aryan Jasani,Neg,28.8,29.4
Brophy VW,Harker LC,Jacob Nails,Neg,29.1,29.4
Flintridge Prep CX,Clear Lake RZ,Dylan Millimet,Neg,29.6,29.7
Brophy AP,Newark Science EH,William Walker,Aff,28.5,28.4
Marlborough EP,Lake Travis BK,Ava Wegmann-Gatarz,Aff,28.4,28.3
Strake Jesuit  SA,Coppell MM,Emanuel Vargas,Neg,28.8,28.9
John Cooper RR,Isidore Newman BD,Em Jackson,Neg,28.0,28.5
Immaculate Heart CM,Peninsula GH,Adam Lipton,Aff,28.5,28.4
Harker RG,Southlake Carroll IM,Ronen Bowman,Aff,29.7,29.6
Brearley IL,Marlborough RB,Elizabeth Elliott,Aff,29.1,29.0
Lynbrook JR,Horace Greeley CC,Leo Crowley,Neg,29.1,29.5
Newark Science SR,Isidore Newman MM,Blake Ziegler,Aff,28.6,28.5
Strath Haven NS,Harrison SE,Chris Castillo,Neg,28.9,28.9
All Saints Episcopal School - Tyler ID,Strake Jesuit  JW,Mariska Khalikov,Neg,28.9,29.2
Memorial AW,Lake Travis AS,Dylan Millimet,Aff,28.5,28.8
St John's WG,Princeton Day MW,Will Spencer,Aff,29.5,29.2
Harrison AG,Wheatley AM,Ashley Lourenco,Neg,29.5,29.6
Peninsula SP,Harker JC,Om Modi,Neg,28.9,29.1
Westlake MH,St John's DH,Om Modi,Neg,28.9,28.4
Mountain View AW,Harker SD,Mariska Khalikov,Neg,29.5,29.7
BASIS Silicon Valley JK,Brearley IM,Mark Kivimaki,Aff,29.2,28.4
Marlborough DK,Harker NB,Coralynn Yang,Neg,29.5,29.2
BASIS Silicon Valley VP,Plano West SG,Alice Waters,Neg,29.0,29.1
Greenhill SS,Southlake Carroll AT,Adam Torson,Neg,28.4,28.5
