Aff,Neg,Judges,Votes,Win
Marlborough LS,Harvard-Westlake KM,"David Kilpatrick																																						Nick Loew																																						Adam Lipton","Neg																															Neg																															Neg","3-0																															NEG"
Plano West SG,Harker SD,"Elizabeth Elliott																																						Curtis Ortega																																						Rob Sosa","Neg																															Neg																															Neg","3-0																															NEG"
