Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Harker ID,West Des Moines Valley JC,Chris Castillo,Aff,29.1,29.0
West Des Moines Valley DN,Peninsula SP,Shubh Doshi,Neg,29.5,29.4
Lynbrook VK,Strake Jesuit  JW,Alice Waters,Aff,28.8,28.7
Stratford RR,Memorial EJ,Gordon Krauss,Neg,28.5,29.1
Lynbrook ST,Horace Greeley CC,Nick Loew,Neg,29.1,29.3
Strath Haven MC,Meadows CP,Holden Bukowsky,Aff,28.7,28.4
Harker LC,Isidore Newman MM,Chris Castillo,Aff,29.3,29.1
Brearley IM,Edgemont AP,Blake Ziegler,Neg,29.1,29.4
St John's DH,John Cooper TX,Will Spencer,Aff,29.0,28.8
Strath Haven NS,Strake Jesuit  EX,angel ribo,Neg,28.6,28.7
Harrison FW,Newark Science SR,Claudia Ribera,Aff,29.6,29.2
Marlborough EF,St John's WG,Temitope Ogundare,Aff,28.4,27.0
All Saints Episcopal School - Tyler ID,Strake Jesuit  KS,angel ribo,Neg,28.0,29.4
Immaculate Heart CM,Marlborough LS,Greg Achten,Neg,28.9,29.2
Southlake Carroll IM,Lake Travis AS,Aadi Patil,Aff,29.8,29.7
Marlborough EP,BASIS Silicon Valley JK,Scott Phillips,Neg,29.0,29.2
Marlborough AK,Harker NB,Om Modi,Neg,29.2,29.7
Peninsula GH,Clear Lake RZ,Ava Wegmann-Gatarz,Neg,28.5,28.8
Immaculate Heart OA,Greenhill SS,Chris Theis,Aff,29.0,28.8
Cary Acad TB,Newark Science EH,Brice Ezell,Aff,29.1,28.6
Harvard-Westlake KM,Gunn SP,David Kilpatrick,Aff,29.5,29.2
Marlborough RB,Westlake MH,David Kilpatrick,Aff,29.2,29.1
Greenhill OG,Little Rock Central GT,Nigel Taylor-Ward,Neg,29.6,29.9
Immaculate Heart CJ,Holy Trinity Episcopal CH,William Walker,Neg,28.6,29.3
Lovett RS,Mountain View AW,Truman Le,Neg,28.1,29.3
Brearley IL,Coppell VD,Em Jackson,Aff,29.5,28.5
Lake Travis BK,Marlborough DK,Aaron Kuang,Neg,28.8,29.0
Louis D. Brandeis SR,Isidore Newman BD,Ronen Bowman,Aff,28.9,28.8
Harker SD,Strake Jesuit  SA,Ishan Rereddy,Aff,29.5,29.2
Plano West ZM,Harrison AG,Elizabeth Elliott,Neg,29.1,29.2
Isidore Newman DC,Marlborough CS,Scott Phillips,Aff,29.1,28.9
Harvard-Westlake AS,Harker JC,Gordon Krauss,Aff,29.2,28.9
Lynbrook AS,Greenhill EX,Alice Waters,Neg,29.0,29.1
Wheatley AM,Irma Rangel YWLS DR,Blake Ziegler,Aff,29.7,28.5
Grapevine IH,Clear Lake CW,Claudia Ribera,Neg,29.1,29.2
Canyon Crest CD,Flintridge Prep CX,Emanuel Vargas,Aff,28.9,28.8
Harrison SE,Southlake Carroll AT,Grady Morris,Aff,29.1,29.0
Meadows TB,Princeton Day MW,David Dosch,Aff,28.7,28.6
Immaculate Heart AE,Cupertino AS,Chris Theis,Aff,28.8,28.7
Plano West SG,John Cooper RR,Nick Loew,Aff,29.4,28.7
Brophy VW,Boerne Champion CW,Chetan Hertzig,Aff,29.2,29.0
Brophy AP,BASIS Silicon Valley VP,Amanda Ciocca,Neg,29.1,29.4
St Thomas CO,Lynbrook JR,Aaron Kuang,Neg,29.4,29.5
Harker SS,Coppell MM,Holden Bukowsky,Aff,29.6,28.7
Harker RG,Memorial AW,Truman Le,Neg,29.1,29.2
Park City MS,Strake Jesuit  MZ,Elizabeth Elliott,Neg,28.9,29.0
